,libellefrancais,domanialite,circonferenceencm,hauteurenm,espece,latitude,longitude,stadedeveloppement_A,stadedeveloppement_J,stadedeveloppement_JA,stadedeveloppement_M
11658,Fevier,PERIPHERIQUE,23.0,5.0,triacanthos f. Inermis,48.8798349531,2.406643118819999,0,1,0,0
11659,Tilleul,Alignement,50.0,10.0,tomentosa,48.87714252909999,2.39287070048,0,0,1,0
11661,Cerisier à fleurs,DASCO,125.0,6.0,serrulata,48.8994621658,2.37501893128,1,0,0,0
11662,Noisetier de Byzance,Alignement,80.0,10.0,colurna,48.8901067424,2.38543913178,0,0,1,0
11663,Chêne,Alignement,70.0,10.0,rubra,48.8897585579,2.38630996003,0,1,0,0
11665,Marronnier,Alignement,50.0,5.0,x carnea,48.8829210008,2.38424528399,0,0,1,0
11667,Erable,PERIPHERIQUE,155.0,16.0,pseudoplatanus,48.8838342034,2.39897004628,1,0,0,0
11669,Frêne à fleurs,Alignement,85.0,10.0,ornus,48.87827347,2.38295669961,1,0,0,0
11671,Platane,Alignement,275.0,20.0,orientalis,48.8763867429,2.37825475608,1,0,0,0
11672,Orme,PERIPHERIQUE,37.0,5.0,glabra Huds.,48.8801801383,2.40597501881,0,1,0,0
11673,Peuplier,Alignement,105.0,20.0,x canadensis,48.8851584938,2.37413457298,1,0,0,0
11674,Peuplier,Alignement,165.0,20.0,x canadensis,48.88449061,2.37292815335,1,0,0,0
11678,Platane,Alignement,175.0,25.0,x hispanica,48.8826365787,2.37789367171,0,0,0,1
11679,Copalme,Alignement,105.0,15.0,styraciflua,48.885689183,2.39002113786,1,0,0,0
11682,Poirier à fleurs,Alignement,30.0,3.0,calleryana,48.8882969539,2.38190058276,0,1,0,0
11683,Platane,Alignement,35.0,5.0,x hispanica,48.8989297621,2.37681364242,0,1,0,0
11685,Poirier à fleurs,Alignement,40.0,6.0,calleryana,48.8756323361,2.37844500195,0,1,0,0
11686,Robinier,Alignement,40.0,5.0,pseudoacacia,48.87997153599999,2.37626399315,0,1,0,0
11687,Platane,Alignement,40.0,10.0,x hispanica,48.885301099799996,2.39292349744,0,1,0,0
11689,Fevier,PERIPHERIQUE,25.0,4.0,triacanthos f. Inermis,48.9001947911,2.37175290125,0,1,0,0
11690,Sophora,Jardin,170.0,17.0,japonica,48.90005813,2.386965405189999,1,0,0,0
11691,Cerisier à fleurs,Alignement,35.0,6.0,serrulata,48.8768319275,2.396436606029999,0,1,0,0
11692,Sophora,Alignement,150.0,20.0,japonica,48.8834252069,2.40025562138,1,0,0,0
11694,Platane,Alignement,295.0,25.0,orientalis,48.8770719185,2.37431599739,1,0,0,0
11695,Micocoulier,Alignement,60.0,10.0,australis,48.8794788594,2.40949775578,0,0,1,0
11696,Platane,Alignement,205.0,25.0,x hispanica,48.8845682915,2.37026153435,1,0,0,0
11697,Erable,Alignement,75.0,8.0,saccharinum,48.8863331759,2.3830868606499997,0,0,1,0
11698,Platane,Alignement,115.0,10.0,x hispanica,48.8890257452,2.394397939219999,1,0,0,0
11701,Platane,Alignement,165.0,20.0,x hispanica,48.8986511016,2.37404610358,1,0,0,0
11705,Marronnier,DASCO,165.0,17.0,hippocastanum,48.8879372393,2.36890927321,1,0,0,0
11706,Noyer,Alignement,75.0,10.0,nigra,48.8875951631,2.3958782758,0,0,1,0
11708,Platane,Alignement,190.0,20.0,x hispanica,48.9011927429,2.388076002459999,0,0,0,1
11709,Catalpa,Alignement,75.0,10.0,bignonioides,48.9012088301,2.38824823486,0,0,1,0
11711,Platane,Alignement,220.0,25.0,x hispanica,48.8818573588,2.39307984693,1,0,0,0
11714,Sophora,Alignement,70.0,10.0,japonica,48.8775868346,2.37093430453,0,0,1,0
11717,Erable,DASCO,105.0,13.0,platanoides,48.8877377288,2.369716027359999,1,0,0,0
11718,Sophora,Alignement,100.0,15.0,japonica,48.8771960759,2.37138651431,1,0,0,0
11719,Platane,Alignement,40.0,6.0,x hispanica,48.8987603797,2.37957881563,0,1,0,0
11720,Charme,Alignement,70.0,15.0,betulus,48.884166373099994,2.39774673079,1,0,0,0
11721,Platane,Alignement,260.0,18.0,x hispanica,48.8924598756,2.38702701861,1,0,0,0
11723,Fevier,Alignement,85.0,10.0,triacanthos f. Inermis,48.8855287049,2.39269023159,0,0,1,0
11724,Bouleau,DFPE,80.0,14.0,pendula,48.8775466606,2.383041024349999,1,0,0,0
11725,Platane,Alignement,65.0,10.0,orientalis,48.8804721351,2.390896719649999,0,0,1,0
11726,Platane,Alignement,95.0,20.0,orientalis,48.880214389799995,2.39770877926,0,0,1,0
11728,Erable,Alignement,45.0,5.0,monspessulanum,48.8870337403,2.36698041915,0,1,0,0
11732,Noisetier de Byzance,Alignement,70.0,10.0,colurna,48.8906174909,2.38673666692,0,0,1,0
11733,Robinier,Alignement,125.0,20.0,pseudoacacia,48.8820565086,2.3711947306,1,0,0,0
11734,Platane,Alignement,170.0,20.0,x hispanica,48.8825811045,2.379117817619999,1,0,0,0
11738,Platane,Alignement,30.0,5.0,orientalis,48.8801527789,2.3979469934199997,0,1,0,0
11739,Troene,Alignement,40.0,5.0,lucidum,48.8854873642,2.37200406362,0,1,0,0
11740,Platane,Alignement,65.0,15.0,orientalis,48.880314757799994,2.39725906652,0,0,1,0
11742,Noisetier de Byzance,Alignement,50.0,5.0,colurna,48.8892029612,2.38754554665,0,1,0,0
11744,Marronnier,Alignement,180.0,20.0,hippocastanum,48.8808152594,2.37991158673,1,0,0,0
11745,Platane,Alignement,130.0,15.0,x hispanica,48.8926831028,2.39794637235,1,0,0,0
11747,Peuplier,Alignement,120.0,20.0,x canadensis,48.8870938204,2.37802584634,1,0,0,0
11748,Arbre aux quarante écus,Jardin,145.0,18.0,biloba,48.8802236917,2.38200604123,1,0,0,0
11750,Peuplier,PERIPHERIQUE,150.0,15.0,x canadensis,48.8805648554,2.40452737985,1,0,0,0
11751,Peuplier,Alignement,135.0,20.0,x canadensis,48.8869418436,2.37785100511,1,0,0,0
11754,Micocoulier,DASCO,40.0,5.0,australis,48.8923177864,2.383707347459999,0,1,0,0
11755,Pin,Jardin,25.0,3.0,pinea,48.8898638044,2.39694794144,0,1,0,0
11756,Platane,Alignement,20.0,5.0,x hispanica,48.889275143,2.39464478771,0,1,0,0
11758,Platane,Alignement,80.0,12.0,x hispanica,48.88426256319999,2.36733215053,0,0,1,0
11759,Poirier à fleurs,Alignement,40.0,5.0,calleryana,48.8824240997,2.37066575434,0,0,1,0
11761,Marronnier,Alignement,100.0,15.0,hippocastanum,48.8924009787,2.37471192113,0,0,1,0
11762,Micocoulier,DASCO,40.0,7.0,australis,48.89310023579999,2.37538400566,0,1,0,0
11763,Tulipier,Alignement,35.0,5.0,tulipifera,48.8841798315,2.388167538169999,0,1,0,0
11765,Poirier à fleurs,Alignement,55.0,10.0,calleryana,48.8866990408,2.38899249591,0,0,1,0
11766,Platane,Alignement,180.0,15.0,x hispanica,48.8779611028,2.370903891269999,1,0,0,0
11767,Tilleul,Alignement,70.0,10.0,x europaea,48.88352311829999,2.37043554584,0,0,1,0
11768,Platane,Alignement,40.0,8.0,x hispanica,48.878129122599994,2.40488689734,0,1,0,0
11769,Platane,Alignement,130.0,15.0,x hispanica,48.899863311,2.38787599898,1,0,0,0
11770,Peuplier,Alignement,25.0,7.0,x canadensis,48.8864987623,2.37434353087,0,1,0,0
11771,Sophora,Alignement,100.0,10.0,japonica,48.89233069309999,2.36938792747,0,0,1,0
11773,Peuplier,Alignement,55.0,10.0,tremula,48.895639088,2.38436903303,0,0,1,0
11774,Tilleul,Alignement,115.0,15.0,cordata,48.8963095364,2.38443186758,1,0,0,0
11775,Peuplier,Alignement,135.0,20.0,x canadensis,48.887365411199994,2.3760854059,1,0,0,0
11776,Marronnier,Alignement,100.0,10.0,hippocastanum,48.8778675071,2.37820723209,1,0,0,0
11778,Platane,Alignement,75.0,15.0,x hispanica,48.876290308799994,2.37931043484,1,0,0,0
11779,Sophora,Alignement,130.0,15.0,japonica,48.8909876879,2.37217170176,0,0,0,1
11781,Sophora,Alignement,105.0,15.0,japonica,48.899685413,2.37204485924,0,0,1,0
11782,Sophora,Alignement,85.0,10.0,japonica,48.897157856499994,2.38477581937,0,0,1,0
11784,Pommier à fruits,DASCO,15.0,2.0,domestica,48.8805472306,2.37878019195,0,1,0,0
11785,Platane,DJS,155.0,17.0,x hispanica,48.89118179169999,2.3965370837,1,0,0,0
11787,Micocoulier,Alignement,90.0,10.0,australis,48.8920279952,2.37850043032,1,0,0,0
11788,Micocoulier,Alignement,100.0,10.0,australis,48.8911341861,2.38643292516,0,0,1,0
